userID,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
1,채소,농산가공,유제품,청과,일반가공식품,생선,기초 화장품,유기농채소,전문베이커리,식당가 한식
2,채소,청과,농산가공,유제품,일반가공식품,기초 화장품,수입식품,유기농채소,생선,위생세제
3,두부류,국물봉지라면,일반우유,일반계란,종량제봉투,일반스낵,공병/공박스,콩나물,생활잡화균일가,일반소주
4,청과,유제품,채소,농산가공,일반가공식품,수입식품,유기농채소,위생세제,일식델리,한식델리
5,청과,유제품,채소,농산가공,일반가공식품,수입식품,위생세제,유기농채소,기초 화장품,생선
6,시금치,무우,일반스낵,재사용봉투,노지감귤,어린이/액상요구르트,엘레강스,잡곡기타,고추,생굴
7,청과,수입식품,생선,한식델리,일식델리,채소,농산가공,유제품,양과자류,브랑제리
8,농산가공,채소,유제품,청과,일반가공식품,수입식품,유기농채소,위생세제,음료,생선
9,유제품,기초 화장품,디자이너부틱,한식델리,엘레강스,건강가전,막걸리,숙녀고정행사,청과,농산가공
10,일반계란,두부류,콩나물,어묵,귤류,시금치,국물봉지라면,바나나,일반우유,일반스낵
11,청과,채소,유제품,농산가공,기초 화장품,일반가공식품,수입식품,유기농채소,생선,위생세제
12,생수,녹차,노지감귤,고당도바나나,유기농채소,닭부분육,일반빵,일반란,떠먹는요구르트,딸기
13,봉지라면,일반흰우유,일반스낵,떠먹는요구르트,감자스낵,어묵,국산콩나물,재사용봉투,딸기,보네스빼
14,청과,일반계란,두부류,채소,유제품,농산가공,일반가공식품,유기농채소,수입식품,바나나
15,다이소,떠먹는요구르트,봉지라면,일반흰우유,일반스낵,일반란,어묵,무우,NB돼지고기,감자스낵
16,채소,청과,유제품,농산가공,유기농채소,일반가공식품,수입식품,생선,기초 화장품,음료
17,청과,채소,유제품,기초 화장품,농산가공,일반가공식품,수입식품,유기농채소,위생세제,식당가 한식
18,채소,청과,농산가공,유제품,일반가공식품,기초 화장품,수입식품,유기농채소,생선,위생세제
19,유제품,청과,농산가공,일반가공식품,채소,수입식품,위생세제,유기농채소,음료,기초 화장품
20,청과,유제품,채소,농산가공,일반가공식품,수입식품,위생세제,유기농채소,음료,기초 화장품
21,일반스낵,봉지라면,다이소,어묵,감자스낵,떠먹는요구르트,일반흰우유,콘스낵,소스,재사용봉투
22,청과,채소,유제품,농산가공,기초 화장품,일반가공식품,유기농채소,수입식품,식당가 한식,일식델리
23,청과,채소,유제품,농산가공,기초 화장품,일반가공식품,수입식품,유기농채소,식당가 한식,위생세제
24,일반흰우유,재사용봉투,보네스빼,쿠키,파이,기능성우유,케이크,일반스낵,봉지라면,찐빵
25,전문베이커리,서양델리,식당가 한식,스카프(특정),엘레강스,청과,유제품,농산가공,한식델리,채소
26,청과,채소,농산가공,유제품,기초 화장품,일반가공식품,수입식품,유기농채소,생선,식당가 한식
27,청과,채소,유제품,농산가공,일반가공식품,유기농채소,수입식품,기초 화장품,위생세제,생선
28,일반스낵,감자스낵,콘스낵,다이소,부침두부,무우,봉지라면,노지감귤,일반흰우유,일반닭
29,기초 화장품,청과,유제품,채소,농산가공,수입식품,식당가 한식,global SPA,전문베이커리,일반가공식품
30,일반계란,두부류,기타축산통조림,기타주방일회용품,걸레/청소포,바나나,종량제봉투,딸기,유제품,생활잡화균일가
31,청과,유제품,일반가공식품,채소,농산가공,수입식품,위생세제,음료,유기농채소,기초 화장품
32,커피,즉석참기름,볶음조림용멸치,농산가공,유제품,청과,설탕,유기농채소,채소,수입식품
33,봉지라면,어묵,일반스낵,재사용봉투,일반란,일반흰우유,다이소,무우,감자스낵,떠먹는요구르트
34,채소,농산가공,청과,유제품,일반가공식품,수입식품,위생세제,유기농채소,생선,우육
