userID,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
1,A010402,A010404,A010302,A010401,A010608,A010501,A020302,A010403,A010613,A010644
2,A010402,A010401,A010404,A010302,A010608,A020302,A011004,A010403,A010501,A010101
3,C030401,C150101,C070101,C030901,C170206,C150405,C120601,C030404,C170701,C120101
4,A010401,A010302,A010402,A010404,A010608,A011004,A010403,A010101,A010602,A010601
5,A010401,A010302,A010402,A010404,A010608,A011004,A010101,A010403,A020302,A010501
6,B050101,B051005,B140103,B210802,B520503,B100502,A040502,B720103,B010102,B790310
7,A010401,A011004,A010501,A010601,A010602,A010402,A010404,A010302,A010612,A010630
8,A010404,A010402,A010302,A010401,A010608,A011004,A010403,A010101,A010902,A010501
9,A010302,A020302,A040902,A010601,A040502,A070606,C120501,A041003,A010401,A010404
10,C030901,C030401,C030404,C080201,C010104,C030104,C150101,C010206,C070101,C150405
11,A010401,A010402,A010302,A010404,A020302,A010608,A011004,A010403,A010501,A010101
12,D040201,B130202,B520503,B650202,A010403,B470106,B740502,B890103,B100504,B521301
13,B740101,B100305,B140103,B100504,B140101,B430101,B380303,B210802,B521301,B670402
14,A010401,C030901,C030401,A010402,A010302,A010404,A010608,A010403,A011004,C010206
15,B200801,B100504,B740101,B100305,B140103,B890103,B430101,B051005,B480301,B140101
16,A010402,A010401,A010302,A010404,A010403,A010608,A011004,A010501,A020302,A010902
17,A010401,A010402,A010302,A020302,A010404,A010608,A011004,A010403,A010101,A010644
18,A010402,A010401,A010404,A010302,A010608,A020302,A011004,A010403,A010501,A010101
19,A010302,A010401,A010404,A010608,A010402,A011004,A010101,A010403,A010902,A020302
20,A010401,A010302,A010402,A010404,A010608,A011004,A010101,A010403,A010902,A020302
21,B140103,B740101,B200801,B430101,B140101,B100504,B100305,B140102,B110203,B210802
22,A010401,A010402,A010302,A010404,A020302,A010608,A010403,A011004,A010644,A010602
23,A010401,A010402,A010302,A010404,A020302,A010608,A011004,A010403,A010644,A010101
24,B100305,B210802,B670402,B140201,B140301,B100301,B140302,B140103,B740101,B740503
25,A010613,A010603,A010644,A020102,A040502,A010401,A010302,A010404,A010601,A010402
