°í°´¹øÈ£,A,B,C,D
1,874,64,119,0
2,1080,16,0,20
3,1,2,1188,0
4,649,126,155,0
5,711,1,0,7
6,361,1193,39,0
7,517,203,61,0
8,1816,48,1,0
9,704,1,35,0
10,107,549,2750,2
11,721,45,54,0
12,82,320,0,91
13,369,2350,165,0
14,599,219,494,0
15,245,725,50,0
16,556,48,1,0
17,575,131,175,0
18,672,24,62,0
19,573,3,2,3
20,1036,2,9,0
21,3,2188,3,0
22,495,0,0,0
23,684,22,77,0
24,20,797,0,1
25,498,22,106,0
26,844,149,19,2
27,613,27,8,0
28,31,1355,2,0
29,607,299,20,0
30,926,3,1387,0
31,988,3,2,2
32,474,1009,0,0
33,11,2220,173,0
34,925,1,22,0
35,672,321,0,1
36,829,53,78,0
37,1092,63,2,0
38,268,1845,567,0
39,562,0,12,0
40,466,293,99,0
41,485,189,41,0
42,20,2129,48,0
43,8,1099,2,0
44,575,42,377,0
45,586,159,4,0
46,638,38,4,0
47,127,1579,7,0
48,520,39,108,0
49,677,4,1,0
50,1226,249,290,0
51,701,1098,0,14
52,1211,1,39,0
53,481,88,185,0
54,744,1,4,1
55,1,19,935,0
56,728,11,27,0
57,2,14,1981,0
58,613,5,0,0
59,767,73,2,0
60,310,1150,16,0
61,679,203,823,0
62,478,474,20,0
63,613,1,2,0
64,2,816,1,0
65,648,226,3,0
66,480,1652,8,0
67,5,1971,2,0
68,432,1156,2,0
69,1,126,3739,0
70,617,1,30,0
71,2,1079,32,0
72,23,1002,6,0
73,557,71,7,0
74,586,105,68,0
75,624,1,302,0
76,657,139,127,0
77,782,310,0,0
78,817,195,17,0
79,158,1848,26,0
80,105,139,1431,0
81,694,93,8,0
82,563,595,25,0
83,844,211,1,0
84,453,45,4,0
85,867,0,2,8
86,267,1994,9,2
87,456,10,95,0
88,572,922,10,0
89,168,1590,283,1
90,512,24,6,0
91,713,53,158,0
92,726,612,456,0
93,763,14,6,0
94,1048,85,33,0
95,122,1139,31,2
96,741,12,0,0
97,704,73,856,0
98,673,117,0,2
99,986,313,19,0
100,572,113,6,0
101,487,358,11,0
102,735,877,1102,0
103,16,67,820,0
104,19,2465,14,0
105,39,2330,6,0
106,705,47,35,0
107,653,4,184,0
108,950,54,1,0
109,6,9,1446,0
110,931,332,158,1
111,6,211,1352,0
112,679,227,17,0
113,922,732,12,0
114,495,71,245,2
115,553,0,40,1
116,28,28,1698,0
117,749,232,335,4
118,701,8,3,0
119,739,27,214,0
120,1012,154,3,0
121,613,291,0,2
122,655,552,9,0
123,10,1675,1,0
124,661,13,5,4
125,689,159,2,0
126,165,1366,17,0
127,519,140,2,1
128,1,777,19,0
129,10,896,100,0
130,838,16,202,0
131,1092,5,1123,0
132,42,1654,143,0
133,1039,173,10,0
134,637,127,21,0
135,676,20,9,1
136,524,13,2,0
137,570,19,550,0
138,449,535,1,0
139,491,496,380,3
140,885,13,56,0
141,1,18,1332,0
142,12,3,1,0
143,21,1594,0,1
144,69,575,5311,0
145,807,60,21,0
146,494,0,0,0
147,763,1023,15,0
148,2,3,1438,0
149,619,194,23,0
150,56,1646,6,0
151,1141,244,5,0
152,458,2,454,0
153,880,193,2,1
154,438,334,5,0
155,932,38,1,0
156,1279,3,14,0
157,629,1,355,1
158,530,623,8,7
159,522,110,8,0
160,720,627,1,0
161,662,71,4,0
162,592,387,66,0
163,93,12,1433,5
164,477,424,50,0
165,415,98,1,0
166,634,390,2,0
167,930,8,0,8
168,860,11,281,0
169,46,874,74,0
170,13,1900,8,0
171,660,115,16,0
172,905,537,1,0
173,46,90,1941,0
174,6,15,0,0
175,71,4746,2,0
176,50,23,1266,0
177,549,102,5,0
178,118,1787,64,0
179,1170,281,0,2
180,705,2,5,0
181,770,129,24,0
182,1145,396,0,3
183,7,2313,3,0
184,468,129,18,0
185,6,1385,28,0
186,813,564,62,0
187,476,100,55,0
188,41,187,2960,0
189,1325,13,0,54
190,1201,10,0,0
191,493,1,14,0
192,702,418,50,1
193,38,1398,7,0
194,161,1903,2,0
195,1,824,4,0
196,543,490,448,2
197,531,737,5,4
198,267,1098,7,0
199,58,719,231,0
200,66,113,931,0
201,866,7,66,0
202,731,2,1099,0
203,1,1114,4,0
204,248,1546,4,0
205,77,1321,179,2
206,124,1737,207,0
207,4,1232,1,1
208,333,107,4,0
209,588,62,23,0
210,36,773,311,0
211,618,5,23,0
212,63,4,1758,0
213,310,3120,896,0
214,590,3,616,0
215,193,1699,0,0
216,32,1371,3,0
217,527,103,2,0
218,764,136,0,6
219,607,660,7,0
220,5,2356,2,0
221,37,1261,8,0
222,509,328,351,0
223,640,9,2,0
224,439,104,0,0
225,755,81,13,0
226,38,875,24,0
227,15,0,1592,0
228,19,1683,39,0
229,987,12,20,0
230,838,24,5,1
231,15,1728,1,0
232,29,3,2169,0
233,62,7,1390,0
234,753,231,68,0
235,678,11,467,0
236,5,5,1733,0
237,613,7,744,1
238,812,4,3,0
239,785,44,13,0
240,723,12,0,8
241,839,44,4,0
242,17,1242,12,0
