绊按锅龋,己喊,楷飞措,芭林瘤开,瘤开疙,醚备概陛咀,乞闭备概陛咀,醚备概惑前俺荐,醚备概扒荐,1雀 乞闭备概扒荐,备概惑前啊瘤荐,林劝悼矫埃,备概力绒荤,版里荤捞侩,牢磐齿劝侩后档,捞侩痢器,促嫡捞
1,M,60技捞惑,60,辑匡,85000000,80457,1057,681,2,255,14,C,9,0,12,0
2,M,60技捞惑,100,版扁,99900000,89499,1116,676,2,140,13,D,8,0,7,0
3,M,60技捞惑,33,辑匡,3165167,2658,1191,490,2,161,12,C,0,0,34,0
4,F,60技捞惑,16,辑匡,16700000,17950,930,533,2,254,14,C,3,0,20,0
5,M,60技捞惑,100,版扁,13200000,18410,719,426,2,80,14,D,0,0,7,0
6,F,60技捞惑,240,碍盔,24500000,15384,1593,821,2,404,14,C,0,0,11,0
7,F,60技捞惑,36,辑匡,73700000,94400,781,531,1,287,20,C,1,4,1,0
8,M,60技捞惑,10,辑匡,62400000,33435,1865,716,3,155,15,C,3,0,24,0
9,F,60技捞惑,100,版扁,122000000,147235,740,649,1,108,15,C,0,0,7,0
10,F,60技捞惑,24,辑匡,18600000,5443,3077,772,4,487,20,D,0,0,11,0
11,M,60技捞惑,100,版扁,122000000,147235,820,597,1,187,17,C,2,0,10,0
12,M,60技捞惑,43,辑匡,6409967,13002,493,295,2,126,15,D,0,0,9,0
13,F,60技捞惑,210,牢玫,17700000,6141,2884,676,4,561,19,C,0,0,34,0
14,F,60技捞惑,43,辑匡,34600000,26347,1312,690,2,339,14,C,0,1,1,0
15,F,60技捞惑,24,辑匡,25100000,24623,1020,719,1,371,17,C,1,0,11,0
16,F,60技捞惑,460,何魂,10900000,18066,605,411,1,92,12,C,7,0,29,0
17,M,60技捞惑,43,辑匡,122000000,147235,881,520,2,301,17,C,2,0,1,0
18,F,60技捞惑,210,牢玫,80600000,106344,758,501,2,155,16,C,0,0,18,0
19,F,60技捞惑,100,版扁,42900000,73921,581,437,1,81,14,D,0,0,7,0
20,M,60技捞惑,33,辑匡,22700000,21702,1047,670,2,92,16,C,9,0,1,0
21,M,60技捞惑,55,辑匡,22700000,10355,2194,527,4,491,10,C,0,0,13,0
22,F,60技捞惑,.,,122000000,147235,495,413,1,57,12,A,0,0,1,0
23,M,60技捞惑,55,辑匡,78600000,100414,783,565,1,152,12,C,0,0,2,0
24,M,60技捞惑,43,辑匡,12100000,14768,818,349,2,209,19,D,0,0,9,0
25,F,60技捞惑,460,何魂,46800000,74838,626,517,1,178,13,C,9,0,15,0
26,F,60技捞惑,460,何魂,122000000,125475,1014,649,2,230,17,D,1,0,29,0
27,M,60技捞惑,60,辑匡,60100000,92687,648,555,1,92,18,C,9,0,12,0
28,F,60技捞惑,47,辑匡,8677200,6252,1388,439,3,298,14,C,0,0,14,0
29,M,60技捞惑,210,牢玫,86000000,92832,926,660,1,264,14,C,0,0,18,0
30,F,60技捞惑,43,辑匡,106000000,45819,2316,775,3,215,15,C,0,0,15,0
31,F,60技捞惑,100,版扁,13500000,13617,995,615,2,97,14,D,0,0,7,0
32,F,60技捞惑,100,版扁,19500000,13179,1483,894,2,257,16,B,0,0,24,0
33,M,60技捞惑,100,版扁,10500000,4386,2404,452,5,503,14,C,0,0,18,0
34,F,60技捞惑,39,辑匡,15100000,15953,948,524,2,85,15,C,5,0,12,0
35,F,60技捞惑,440,匡魂,44700000,44971,994,516,2,273,13,D,9,0,25,0
36,M,60技捞惑,100,版扁,43500000,45322,960,569,2,199,19,C,0,0,7,0
37,F,60技捞惑,16,辑匡,60800000,52531,1157,818,1,143,19,C,9,0,1,0
38,F,60技捞惑,55,辑匡,23600000,8819,2680,894,3,702,17,C,0,0,7,0
39,F,60技捞惑,43,辑匡,122000000,147235,574,534,1,86,18,C,0,0,1,0
40,M,60技捞惑,100,版扁,26300000,30608,858,539,2,323,12,C,0,0,2,0
41,M,60技捞惑,55,辑匡,18700000,26102,715,551,1,154,19,C,0,0,2,0
42,M,60技捞惑,55,辑匡,15900000,7259,2197,486,5,522,10,C,0,23,13,0
43,F,60技捞惑,100,版扁,7533127,6793,1109,363,3,267,15,C,2,0,24,0
44,F,60技捞惑,55,辑匡,110000000,111156,994,781,1,141,13,C,0,0,2,0
45,F,60技捞惑,100,版扁,122000000,147235,749,612,1,195,15,C,1,0,1,0
46,F,60技捞惑,43,辑匡,122000000,147235,680,588,1,136,13,C,4,0,1,0
47,F,60技捞惑,55,辑匡,20800000,12135,1713,490,4,506,16,C,0,0,7,0
48,F,60技捞惑,210,牢玫,83200000,124698,667,567,1,120,14,C,0,0,18,0
49,F,60技捞惑,55,辑匡,91400000,134069,682,508,1,100,14,C,1,0,2,0
50,F,60技捞惑,16,辑匡,25200000,14283,1765,794,2,330,16,C,0,0,20,0
51,F,60技捞惑,210,牢玫,22200000,12245,1813,668,3,404,13,D,2,0,21,0
52,F,60技捞惑,87,辑匡,37000000,29558,1251,745,2,115,18,C,0,0,5,0
53,M,60技捞惑,65,辑匡,52500000,69693,754,675,1,116,11,C,3,0,1,0
54,F,60技捞惑,100,版扁,10700000,14208,750,678,1,69,14,D,9,0,10,0
55,F,60技捞惑,100,版扁,7603129,7961,955,473,2,159,18,C,0,0,31,0
56,F,60技捞惑,100,版扁,92600000,120864,766,606,1,141,17,C,2,0,10,0
57,F,60技捞惑,100,版扁,10300000,5173,1997,471,4,252,17,C,0,0,31,0
58,F,60技捞惑,24,辑匡,26500000,42920,618,413,2,87,16,B,0,0,3,0
59,F,60技捞惑,55,辑匡,27300000,32383,842,533,2,105,10,C,1,0,2,0
60,F,60技捞惑,13,辑匡,30500000,20661,1476,720,2,442,21,C,1,0,4,0
61,F,60技捞惑,55,辑匡,26900000,15753,1705,659,3,348,14,C,3,0,109,0
62,F,60技捞惑,460,何魂,21200000,21796,972,562,2,327,17,C,6,0,94,0
63,F,60技捞惑,100,版扁,6171380,10018,616,488,1,69,17,C,0,0,30,0
64,M,60技捞惑,100,版扁,3852119,4703,819,399,2,207,20,C,0,0,60,0
65,F,60技捞惑,55,辑匡,19400000,22068,877,629,1,217,11,C,2,0,2,0
